epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
105,58.3165,0.56164,0.40058,0.9788,0.03434,0.89819,0.9623,0.96021,0.81971,0.66018,0.45641,1.13126,0.03414,0.000693351,0.000693351,0.000693351
106,58.8307,0.53584,0.37872,0.96294,0.02407,0.89786,0.96222,0.95594,0.81304,0.66161,0.47721,1.1404,0.03054,0.000686277,0.000686277,0.000686277
107,59.3546,0.55886,0.39594,0.94369,0.0298,0.91113,0.95403,0.95402,0.81837,0.65578,0.48314,1.14547,0.03099,0.000679204,0.000679204,0.000679204
108,59.877,0.52846,0.37819,0.96226,0.02585,0.92613,0.95251,0.95557,0.81972,0.65293,0.46238,1.13313,0.03515,0.00067213,0.00067213,0.00067213
109,60.3978,0.51985,0.37723,0.94531,0.02465,0.928,0.95323,0.95414,0.82072,0.64895,0.45698,1.13138,0.03214,0.000665057,0.000665057,0.000665057
110,60.9083,0.54056,0.37991,0.93653,0.02706,0.92485,0.94465,0.95786,0.82504,0.65463,0.45995,1.14212,0.03192,0.000657983,0.000657983,0.000657983
111,61.428,0.54093,0.37925,0.94344,0.02435,0.92724,0.95245,0.95778,0.83228,0.64865,0.45759,1.14165,0.03286,0.000650909,0.000650909,0.000650909
112,61.9436,0.55253,0.3837,0.94643,0.02975,0.92057,0.9433,0.95382,0.82221,0.64789,0.45431,1.13959,0.0324,0.000643836,0.000643836,0.000643836
113,62.4759,0.54336,0.38675,0.94973,0.02836,0.9211,0.94122,0.95247,0.82073,0.65053,0.45254,1.13885,0.0292,0.000636762,0.000636762,0.000636762
114,62.9998,0.53469,0.3834,0.94256,0.02579,0.92065,0.94122,0.95613,0.83085,0.63796,0.4475,1.13916,0.02973,0.000629689,0.000629689,0.000629689
115,63.5194,0.5172,0.37111,0.93912,0.02423,0.93782,0.94626,0.95928,0.83026,0.63846,0.44052,1.1449,0.03237,0.000622615,0.000622615,0.000622615
116,64.0526,0.55006,0.38785,0.95156,0.02827,0.93691,0.94337,0.95632,0.82387,0.64418,0.44449,1.16207,0.03097,0.000615542,0.000615542,0.000615542
117,64.5633,0.53766,0.38066,0.94207,0.02331,0.93696,0.94122,0.94958,0.81633,0.64096,0.45145,1.15732,0.03041,0.000608468,0.000608468,0.000608468
118,65.0881,0.5457,0.37952,0.93612,0.02679,0.93612,0.9492,0.94974,0.8203,0.63846,0.453,1.15203,0.03042,0.000601395,0.000601395,0.000601395
119,65.606,0.53983,0.38435,0.94611,0.02931,0.92542,0.94917,0.95251,0.81685,0.65416,0.45259,1.16448,0.03134,0.000594321,0.000594321,0.000594321
120,66.1214,0.5431,0.38189,0.95794,0.02709,0.91183,0.96209,0.95235,0.82514,0.63539,0.44703,1.14998,0.03146,0.000587248,0.000587248,0.000587248
121,66.6312,0.53999,0.37795,0.95127,0.02752,0.90278,0.95864,0.95545,0.82487,0.64052,0.44908,1.15636,0.03036,0.000580174,0.000580174,0.000580174
122,67.156,0.54407,0.3824,0.94909,0.03049,0.90556,0.95555,0.95808,0.83059,0.64602,0.44688,1.15628,0.03128,0.0005731,0.0005731,0.0005731
123,67.6687,0.53517,0.3802,0.94932,0.02727,0.9049,0.94451,0.95974,0.83037,0.63478,0.43969,1.13629,0.03233,0.000566027,0.000566027,0.000566027
124,68.1893,0.51798,0.36457,0.942,0.02399,0.92253,0.93916,0.96237,0.83093,0.64056,0.43906,1.1361,0.03043,0.000558953,0.000558953,0.000558953
